OperatorName,Entity,Lon,Lat,DateProductionStart,PerfIntervalGross_CLEAN,PerfIntervalGross,LBS_FT_CLEAN,BBL_FT_CLEAN,Spacing_Avg,GOR_6M,LBS_GAL,IPLiquid,CUM6Liquid,CUM12Liquid
EOG RESOURCES INCORPORATED,1420200098312H,-97.758097,29.095961,10/1/2011,3505,3505,1013,14,1017,1688,1.7,5186,21121,32501
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200107572H,-97.870632,29.002458,6/1/2014,6248,6248,959,25,429,912,0.92,6265,25985,40797
EOG RESOURCES INCORPORATED,1420200098314H,-97.753011,29.099933,11/1/2011,3578,3578,993,13,1003,2123,1.88,8453,27058,41175
MURPHY EXPLORATION & PRODUCTION CO-U,1420200096365H,-97.88872,28.92506,11/1/2014,4796,4796,1183,32,251,751,0.89,1102,4372,41395
EOG RESOURCES INCORPORATED,1420200098313H,-97.756025,29.097681,11/1/2011,3589,3589,989,13,985,1719,1.88,10222,29440,41790
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200107571H,-97.864507,29.004286,6/1/2014,5836,5836,956,24,434,1952,0.95,5776,33920,48534
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200107575H,-97.870701,29.002569,6/1/2014,6354,6354,972,24,529,830,0.98,5692,34891,49691
MARATHON OIL EF LLC,1420200099006H,-97.96722,28.9076,9/1/2014,5051,5051,1186,15,499,1356,1.87,12337,39281,57441
MARATHON OIL EF LLC,1420200099007H,-97.96732,28.9076,9/1/2014,2053,2053,2911,39,499,1318,1.76,12890,39423,57982
MURPHY EXPLORATION & PRODUCTION CO-U,1420200109314H,-97.934272,28.958911,2/1/2016,4671,4671,1709,46,418,688,0.88,12476,42216,58356
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200107573H,-97.870657,29.002497,6/1/2014,6560,6560,970,25,396,819,0.93,8391,37255,60599
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200107574H,-97.870679,29.002531,6/1/2014,6666,6666,979,25,420,513,0.92,7466,37872,61862
MURPHY EXPLORATION & PRODUCTION CO-U,1420200096594H,-97.88659,28.92504,11/1/2014,4738,4738,1400,45,274,0,0.74,16609,32289,62744
EOG RESOURCES INCORPORATED,1420200095823H,-97.835806,29.062892,2/1/2012,4528,4528,1042,16,583,1138,1.58,12615,44793,64313
MURPHY EXPLORATION & PRODUCTION CO-U,142020009586O  1H,-97.767261,29.009689,12/1/2015,5587,5587,1640,43,1114,1556,0.91,14437,43343,67034
